Time,Temperature
2024-10-13 21:21:04,19.34°C
2024-10-13 21:21:06,19.34°C
2024-10-13 21:21:08,19.34°C
2024-10-13 21:21:10,19.34°C
2024-10-13 21:21:12,19.82°C
2024-10-13 21:21:14,19.34°C
2024-10-13 21:21:16,19.82°C
2024-10-13 21:21:18,19.34°C
2024-10-13 21:21:20,19.34°C
2024-10-13 21:21:22,19.34°C
2024-10-13 21:21:24,19.82°C
2024-10-13 21:21:26,19.34°C
2024-10-13 21:21:28,19.82°C
2024-10-13 21:21:30,19.34°C
2024-10-13 21:21:32,19.34°C
2024-10-13 21:21:34,19.34°C
2024-10-13 21:21:36,19.34°C
2024-10-13 21:21:38,19.82°C
2024-10-13 21:21:40,19.34°C
2024-10-13 21:21:42,19.82°C
2024-10-13 21:21:44,19.34°C
2024-10-13 21:21:46,19.82°C
2024-10-13 21:21:48,19.34°C
2024-10-13 21:21:50,19.34°C
2024-10-13 21:21:52,19.82°C
2024-10-13 21:21:54,19.82°C
2024-10-13 21:21:56,19.82°C
2024-10-13 21:21:58,19.82°C
2024-10-13 21:22:00,19.82°C
2024-10-13 21:22:02,19.82°C
2024-10-13 21:22:04,19.82°C
2024-10-13 21:22:06,19.82°C
2024-10-13 21:22:08,19.82°C
2024-10-13 21:22:10,19.82°C
2024-10-13 21:22:12,19.82°C
2024-10-13 21:22:14,19.82°C
2024-10-13 21:22:16,19.34°C
2024-10-13 21:22:18,19.34°C
2024-10-13 21:22:20,19.34°C
2024-10-13 21:22:22,19.34°C
2024-10-13 21:22:24,19.34°C
2024-10-13 21:22:26,19.82°C
2024-10-13 21:22:28,19.82°C
2024-10-13 21:22:30,20.31°C
2024-10-13 21:22:32,20.31°C
2024-10-13 21:22:34,20.8°C
2024-10-13 21:22:36,20.31°C
2024-10-13 21:22:38,20.31°C
2024-10-13 21:22:40,20.31°C
2024-10-13 21:22:42,20.31°C
2024-10-13 21:22:44,20.31°C
2024-10-13 21:22:46,20.31°C
2024-10-13 21:22:48,20.31°C
2024-10-13 21:22:50,20.31°C
2024-10-13 21:22:52,20.31°C
2024-10-13 21:22:54,20.31°C
2024-10-13 21:22:56,20.31°C
2024-10-13 21:22:58,20.31°C
2024-10-13 21:23:00,20.31°C
2024-10-13 21:23:02,19.82°C
2024-10-13 21:23:04,20.31°C
2024-10-13 21:23:06,19.82°C
2024-10-13 21:23:08,19.82°C
2024-10-13 21:23:10,20.31°C
2024-10-13 21:23:12,19.82°C
2024-10-13 21:23:14,19.82°C
2024-10-13 21:23:16,19.82°C
2024-10-13 21:23:18,19.82°C
2024-10-13 21:23:20,19.82°C
2024-10-13 21:23:22,19.82°C
2024-10-13 21:23:24,19.82°C
2024-10-13 21:23:26,20.31°C
2024-10-13 21:23:28,19.82°C
2024-10-13 21:23:30,19.82°C
2024-10-13 21:23:32,19.82°C
2024-10-13 21:23:34,19.82°C
2024-10-13 21:23:36,19.34°C
2024-10-13 21:23:38,19.34°C
2024-10-13 21:23:40,19.82°C
2024-10-13 21:23:42,19.82°C
2024-10-13 21:23:44,19.34°C
2024-10-13 21:23:46,19.34°C
2024-10-13 21:23:48,19.82°C
2024-10-13 21:23:50,19.34°C
2024-10-13 21:23:52,19.82°C
2024-10-13 21:23:54,19.82°C
2024-10-13 21:23:56,19.34°C
2024-10-13 21:23:58,19.34°C
2024-10-13 21:24:00,19.34°C
2024-10-13 21:24:02,19.34°C
2024-10-13 21:24:04,19.82°C
2024-10-13 21:24:06,19.82°C
